,name,link,salary_min,salary_max,currency,site,_id
90,"Middle DevOps Engineer, Exchange Traded Markets",https://voronezh.hh.ru/vacancy/45085299?from=vacancy_search_list&query=python,,,,hh.ru,45085299
91,Главный специалист отдела сопровождения и разработки программного обеспечения,https://voronezh.hh.ru/vacancy/44781181?from=vacancy_search_list&query=python,35000.0,45000.0,руб.,hh.ru,44781181
92,Data Scientist,https://voronezh.hh.ru/vacancy/48926451?from=vacancy_search_list&query=python,,,,hh.ru,48926451
93,Помощник технолога (стажер SAP),https://voronezh.hh.ru/vacancy/44930755?from=vacancy_search_list&query=python,,,,hh.ru,44930755
94,Cloud Python Engineer,https://voronezh.hh.ru/vacancy/46275641?from=vacancy_search_list&query=python,,,,hh.ru,46275641
95,Senior Python Engineer,https://voronezh.hh.ru/vacancy/46275828?from=vacancy_search_list&query=python,,,,hh.ru,46275828
96,Python Engineering Manager,https://voronezh.hh.ru/vacancy/48094342?from=vacancy_search_list&query=python,,,,hh.ru,48094342
97,QA Automation Engineer / Тестировщик ПО (автоматизация),https://voronezh.hh.ru/vacancy/45454042?from=vacancy_search_list&query=python,55000.0,,руб.,hh.ru,45454042
98,DevOps-инженер,https://voronezh.hh.ru/vacancy/41902053?from=vacancy_search_list&query=python,,,,hh.ru,41902053
99,Программист,https://voronezh.hh.ru/vacancy/46704183?from=vacancy_search_list&query=python,,,,hh.ru,46704183
100,Программист,https://voronezh.hh.ru/vacancy/48861761?from=vacancy_search_list&query=python,30000.0,35000.0,руб.,hh.ru,48861761
101,Ведущий разработчик,https://voronezh.hh.ru/vacancy/48900027?from=vacancy_search_list&query=python,,,,hh.ru,48900027
102,Python Senior Developer,https://voronezh.hh.ru/vacancy/42513432?from=vacancy_search_list&query=python,,,,hh.ru,42513432
103,Руководитель площадки по продажам кредитных продуктов,https://voronezh.hh.ru/vacancy/48882212?from=vacancy_search_list&query=python,,,,hh.ru,48882212
104,QA automation engineer,https://voronezh.hh.ru/vacancy/48877295?from=vacancy_search_list&query=python,,,,hh.ru,48877295
105,Специалист службы поддержки с техническими знаниями (Умные устройства),https://voronezh.hh.ru/vacancy/48036824?from=vacancy_search_list&query=python,15000.0,,руб.,hh.ru,48036824
